Company,TypeName,Inches,Ram,OpSys,Weight_Kg,Price,SSD,HDD,Hybrid,Flash_Storage,Resolution,Touchscreen,Cpu_Brand,Cpu_Proc,Cpu_GHz,Gpu_Type
Apple,Ultrabook,13.3,8,macOS,1.37,71378.6832,128,0,0,0,2560x1600,False,Intel,Core i5,2.3,Intel Iris
Apple,Ultrabook,13.3,8,macOS,1.34,47895.5232,0,0,0,128,1440x900,False,Intel,Core i5,1.8,Intel HD
HP,Notebook,15.6,8,No OS,1.86,30636.0,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Intel HD
Apple,Ultrabook,15.4,16,macOS,1.83,135195.336,512,0,0,0,2880x1800,False,Intel,Core i7,2.7,AMD Radeon
Apple,Ultrabook,13.3,8,macOS,1.37,96095.808,256,0,0,0,2560x1600,False,Intel,Core i5,3.1,Intel Iris
Acer,Notebook,15.6,4,Windows 10,2.1,21312.0,0,500,0,0,1366x768,False,AMD,A-Series,3.0,AMD Radeon
Apple,Ultrabook,15.4,16,Mac OS X,2.04,114017.6016,0,0,0,256,2880x1800,False,Intel,Core i7,2.2,Intel Iris
Apple,Ultrabook,13.3,8,macOS,1.34,61735.536,0,0,0,256,1440x900,False,Intel,Core i5,1.8,Intel HD
Asus,Ultrabook,14.0,16,Windows 10,1.3,79653.6,512,0,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
Acer,Ultrabook,14.0,8,Windows 10,1.6,41025.6,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
HP,Notebook,15.6,4,No OS,1.86,20986.992,0,500,0,0,1366x768,False,Intel,Core i5,2.5,Intel HD
HP,Notebook,15.6,4,No OS,1.86,18381.0672,0,500,0,0,1920x1080,False,Intel,Core i3,2.0,Intel HD
Apple,Ultrabook,15.4,16,macOS,1.83,130001.6016,256,0,0,0,2880x1800,False,Intel,Core i7,2.8,AMD Radeon
Dell,Notebook,15.6,4,Windows 10,2.2,26581.392,256,0,0,0,1920x1080,False,Intel,Core i3,2.0,AMD Radeon
Apple,Ultrabook,12.0,8,macOS,0.92,67260.672,256,0,0,0,2304x1440,False,Intel,Core M,1.2,Intel HD
Apple,Ultrabook,13.3,8,macOS,1.37,80908.344,256,0,0,0,2560x1600,False,Intel,Core i5,2.3,Intel Iris
Dell,Notebook,15.6,8,Windows 10,2.2,39693.6,256,0,0,0,1920x1080,False,Intel,Core i7,2.7,AMD Radeon
Apple,Ultrabook,15.4,16,macOS,1.83,152274.24,512,0,0,0,2880x1800,False,Intel,Core i7,2.9,AMD Radeon
Lenovo,Notebook,15.6,8,No OS,2.2,26586.72,0,1000,0,0,1920x1080,False,Intel,Core i3,2.4,Nvidia GeForce
Dell,Ultrabook,13.3,8,Windows 10,1.22,52161.12,128,0,0,0,1920x1080,True,Intel,Core i5,1.6,Intel UHD
Lenovo,Gaming,15.6,8,Windows 10,2.5,53226.72,128,1000,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
HP,Notebook,15.6,4,No OS,1.86,13746.24,0,500,0,0,1366x768,False,AMD,E-Series,1.5,AMD Radeon
